,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
1004,NW Bracken ,2001-2009,116,35,18,199,21*,11.70,282,70.56,0,0,5,10,5,AUSTRALIA
1005,RJ Bright ,1974-1986,11,8,4,66,19*,16.50,122,54.09,0,0,1,3,1,AUSTRALIA
1006,JA Burns ,2015-2015,6,6,0,146,69,24.33,184,79.34,0,1,1,16,1,AUSTRALIA
1007,IW Callen ,1978-1982,5,3,2,6,3*,6.00,13,46.15,0,0,1,0,0,AUSTRALIA
1008,GD Campbell ,1989-1990,12,3,1,6,4*,3.00,19,31.57,0,0,1,0,0,AUSTRALIA
1009,RJ Campbell ,2002-2002,2,2,0,54,38,27.00,70,77.14,0,0,0,6,0,AUSTRALIA
1010,AT Carey ,2018-2021,45,40,7,1203,106,36.45,1341,89.70,1,5,2,118,10,AUSTRALIA
1011,PH Carlson ,1979-1979,4,2,0,11,11,5.50,30,36.66,0,0,1,2,0,AUSTRALIA
1012,HWR Cartwright ,2017-2017,2,2,0,2,1,1.00,23,8.69,0,0,0,0,0,AUSTRALIA
1013,GS Chappell ,1971-1983,74,72,14,2331,138*,40.18,3079,75.70,3,14,7,195,7,AUSTRALIA
1014,IM Chappell ,1971-1980,16,16,2,673,86,48.07,874,77.00,0,8,0,74,7,AUSTRALIA
1015,TM Chappell ,1980-1983,20,13,0,229,110,17.61,365,62.73,1,0,2,18,0,AUSTRALIA
1016,DT Christian ,2012-2021,20,18,5,273,39,21.00,307,88.92,0,0,0,23,3,AUSTRALIA
1017,SR Clark ,2005-2009,39,12,7,69,16*,13.80,88,78.40,0,0,1,6,1,AUSTRALIA
1018,WM Clark ,1978-1978,2,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1019,MJ Clarke ,2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53,AUSTRALIA
1020,DJ Colley ,1972-1972,1,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1021,AN Connolly ,1971-1971,1,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1022,MJ Cosgrove ,2006-2006,3,3,0,112,74,37.33,116,96.55,0,1,0,12,2,AUSTRALIA
1023,GJ Cosier ,1975-1979,9,7,2,154,84,30.80,166,92.77,0,1,1,15,2,AUSTRALIA
1024,NM Coulter-Nile ,2013-2019,32,21,6,252,92,16.80,262,96.18,0,1,2,20,6,AUSTRALIA
1025,DJ Cullen ,2006-2006,5,1,1,2,2*,-,3,66.66,0,0,0,0,0,AUSTRALIA
1026,PJ Cummins ,2011-2020,69,44,15,285,36,9.82,387,73.64,0,0,7,20,5,AUSTRALIA
1027,BCJ Cutting ,2013-2014,4,2,0,53,27,26.50,67,79.10,0,0,0,4,1,AUSTRALIA
1028,AC Dale ,1997-2000,30,12,8,78,15*,19.50,136,57.35,0,0,1,3,0,AUSTRALIA
1029,WM Darling ,1978-1982,18,18,1,363,74,21.35,679,53.46,0,1,0,26,0,AUSTRALIA
1030,IC Davis ,1974-1977,3,3,1,12,11*,6.00,35,34.28,0,0,1,0,0,AUSTRALIA
1031,SP Davis ,1986-1988,39,11,7,20,6,5.00,34,58.82,0,0,1,0,0,AUSTRALIA
1032,MJ Di Venuto ,1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0,28,0,AUSTRALIA
1033,AIC Dodemaide ,1988-1993,24,16,7,124,30,13.77,159,77.98,0,0,1,4,0,AUSTRALIA
1034,XJ Doherty ,2010-2015,60,23,16,101,15*,14.42,184,54.89,0,0,2,5,1,AUSTRALIA
1035,BR Dorey ,2006-2006,4,1,0,2,2,2.00,8,25.00,0,0,0,0,0,AUSTRALIA
1036,GC Dyer ,1986-1988,23,13,2,174,45*,15.81,227,76.65,0,0,1,8,4,AUSTRALIA
1037,G Dymock ,1974-1980,15,7,4,35,14*,11.66,82,42.68,0,0,1,1,0,AUSTRALIA
1038,J Dyson ,1980-1983,29,27,4,755,79,32.82,1553,48.61,0,4,1,55,2,AUSTRALIA
1039,R Edwards ,1972-1975,9,8,1,255,80*,36.42,349,73.06,0,3,1,22,0,AUSTRALIA
1040,WJ Edwards ,1975-1975,1,1,0,2,2,2.00,14,14.28,0,0,0,0,0,AUSTRALIA
1041,MTG Elliott ,1997-1997,1,1,0,1,1,1.00,6,16.66,0,0,0,0,0,AUSTRALIA
1042,PA Emery ,1994-1994,1,1,1,11,11*,-,13,84.61,0,0,0,1,0,AUSTRALIA
1043,JP Faulkner ,2013-2017,69,52,22,1032,116,34.40,990,104.24,1,4,4,83,29,AUSTRALIA
1044,Fawad Ahmed ,2013-2013,3,1,1,4,4*,-,2,200.00,0,0,0,1,0,AUSTRALIA
1045,CJ Ferguson ,2009-2011,30,25,9,663,71*,41.43,777,85.32,0,5,0,64,0,AUSTRALIA
1046,AJ Finch ,2013-2020,132,128,3,5232,153*,41.85,5917,88.42,17,29,11,518,126,AUSTRALIA
1047,DW Fleming ,1994-2001,88,31,18,152,29,11.69,221,68.77,0,0,5,9,1,AUSTRALIA
1048,PJ Forrest ,2012-2012,15,14,0,368,104,26.28,561,65.59,1,3,2,34,4,AUSTRALIA
1049,B Geeves ,2008-2009,2,2,2,10,10*,-,11,90.90,0,0,0,1,0,AUSTRALIA
1050,DR Gilbert ,1986-1986,14,8,3,39,8,7.80,102,38.23,0,0,0,1,0,AUSTRALIA
1051,AC Gilchrist ,1996-2008,286,278,11,9595,172,35.93,9902,96.89,16,55,19,1159,148,AUSTRALIA
1052,JN Gillespie ,1996-2005,97,39,16,289,44*,12.56,367,78.74,0,0,8,16,6,AUSTRALIA
1053,GJ Gilmour ,1974-1975,5,2,1,42,28*,42.00,39,107.69,0,0,0,7,0,AUSTRALIA
1054,SF Graf ,1980-1981,11,6,0,24,8,4.00,50,48.00,0,0,1,1,0,AUSTRALIA
1055,C Green ,2020-2020,1,1,0,21,21,21.00,27,77.77,0,0,0,1,1,AUSTRALIA
1056,BJ Haddin ,2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,296,71,AUSTRALIA
1057,JR Hammond ,1972-1972,1,1,1,15,15*,-,28,53.57,0,0,0,1,0,AUSTRALIA
1058,PSP Handscomb ,2017-2019,22,20,1,632,117,33.26,649,97.38,1,4,2,46,6,AUSTRALIA
1059,RJ Harris ,2009-2012,21,13,7,48,21,8.00,48,100.00,0,0,0,3,1,AUSTRALIA
1060,IJ Harvey ,1997-2004,73,51,11,715,48*,17.87,811,88.16,0,0,2,65,8,AUSTRALIA
1061,SM Harwood ,2009-2009,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,AUSTRALIA
1062,JW Hastings ,2010-2017,29,21,11,271,51,27.10,273,99.26,0,1,1,29,8,AUSTRALIA
1063,NM Hauritz ,2002-2011,58,32,17,336,53*,22.40,349,96.27,0,1,0,21,8,AUSTRALIA
1064,ML Hayden ,1993-2008,160,154,15,6131,181*,44.10,7762,78.98,10,36,9,636,87,AUSTRALIA
1065,JR Hazlewood ,2010-2021,56,19,16,54,11*,18.00,82,65.85,0,0,1,6,0,AUSTRALIA
1066,TM Head ,2016-2018,42,39,2,1273,128,34.40,1414,90.02,1,10,1,135,16,AUSTRALIA
1067,IA Healy ,1988-1997,168,120,36,1764,56,21.00,2104,83.84,0,4,9,77,5,AUSTRALIA
1068,SD Heazlett ,2017-2017,1,1,0,4,4,4.00,11,36.36,0,0,0,0,0,AUSTRALIA
1069,MC Henriques ,2009-2021,16,15,2,117,22,9.00,192,60.93,0,0,0,10,0,AUSTRALIA
1070,AMJ Hilditch ,1979-1985,8,8,0,226,72,28.25,476,47.47,0,1,0,15,0,AUSTRALIA
1071,BW Hilfenhaus ,2007-2012,25,11,8,29,16,9.66,69,42.02,0,0,0,2,0,AUSTRALIA
1072,BJ Hodge ,2005-2007,25,21,2,575,123,30.26,657,87.51,1,3,3,51,12,AUSTRALIA
1073,TG Hogan ,1983-1984,16,12,4,72,27,9.00,95,75.78,0,0,1,7,2,AUSTRALIA
1074,GB Hogg ,1996-2008,123,65,26,790,71*,20.25,1005,78.60,0,2,9,41,5,AUSTRALIA
1075,RM Hogg ,1979-1985,71,35,20,137,22,9.13,217,63.13,0,0,2,8,0,AUSTRALIA
1076,RG Holland ,1985-1985,2,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1077,DW Hookes ,1977-1986,39,36,2,826,76,24.29,1146,72.07,0,5,3,73,13,AUSTRALIA
1078,JR Hopes ,2005-2010,84,61,8,1326,63*,25.01,1415,93.71,0,3,1,123,6,AUSTRALIA
1079,KJ Hughes ,1977-1985,97,88,6,1968,98,24.00,2919,67.42,0,17,12,141,12,AUSTRALIA
1080,MG Hughes ,1988-1993,33,17,8,100,20,11.11,134,74.62,0,0,3,6,4,AUSTRALIA
1081,PJ Hughes ,2013-2014,25,24,1,826,138*,35.91,1100,75.09,2,4,1,91,5,AUSTRALIA
1082,AG Hurst ,1975-1979,8,4,4,7,3*,-,19,36.84,0,0,0,0,0,AUSTRALIA
1083,DJ Hussey ,2008-2013,69,61,6,1796,111,32.65,1980,90.70,1,14,4,130,30,AUSTRALIA
1084,MEK Hussey ,2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,383,80,AUSTRALIA
1085,PA Jaques ,2006-2007,6,6,0,125,94,20.83,176,71.02,0,1,1,16,1,AUSTRALIA
1086,TJ Jenner ,1975-1975,1,1,0,12,12,12.00,25,48.00,0,0,0,1,0,AUSTRALIA
1087,MG Johnson ,2005-2015,153,91,32,951,73*,16.11,987,96.35,0,2,6,81,23,AUSTRALIA
1088,DM Jones ,1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380+,64+,AUSTRALIA
1089,BP Julian ,1993-1999,25,17,0,224,35,13.17,250,89.60,0,0,4,17,6,AUSTRALIA
1090,MS Kasprowicz ,1995-2005,43,13,9,74,28*,18.50,89,83.14,0,0,2,6,1,AUSTRALIA
1091,SM Katich ,2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3,138,4,AUSTRALIA
1092,MF Kent ,1981-1981,5,5,1,78,33,19.50,133,58.64,0,0,0,6,0,AUSTRALIA
1093,RB Kerr ,1985-1985,4,4,1,97,87*,32.33,159,61.00,0,1,0,5,0,AUSTRALIA
1094,UT Khawaja ,2013-2019,40,39,2,1554,104,42.00,1848,84.09,2,12,2,150,13,AUSTRALIA
1095,JJ Krejza ,2011-2011,8,2,1,13,7,13.00,23,56.52,0,0,0,0,0,AUSTRALIA
1096,M Labuschagne ,2020-2020,13,12,0,473,108,39.41,519,91.13,1,3,1,32,0,AUSTRALIA
1097,BM Laird ,1979-1982,23,23,3,594,117*,29.70,1105,53.75,1,2,0,52,0,AUSTRALIA
1098,JL Langer ,1994-1997,8,7,2,160,36,32.00,180,88.88,0,0,0,13,4,AUSTRALIA
1099,B Laughlin ,2009-2009,5,1,1,1,1*,-,9,11.11,0,0,0,0,0,AUSTRALIA
1100,TJ Laughlin ,1978-1979,6,5,1,105,74,26.25,160,65.62,0,1,0,6,1,AUSTRALIA
1101,SG Law ,1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3,72,8,AUSTRALIA
1102,WM Lawry ,1971-1971,1,1,0,27,27,27.00,49,55.10,0,0,0,0,0,AUSTRALIA
1103,GF Lawson ,1980-1989,79,52,18,378,33*,11.11,500,75.60,0,0,9,19+,4,AUSTRALIA
1104,B Lee ,2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16,69,35,AUSTRALIA
1105,S Lee ,1995-2001,45,35,8,477,47,17.66,500,95.40,0,0,3,31,7,AUSTRALIA
1106,DS Lehmann ,1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,227,14,AUSTRALIA
1107,ML Lewis ,2005-2006,7,1,1,4,4*,-,4,100.00,0,0,0,0,0,AUSTRALIA
1108,DK Lillee ,1972-1983,63,34,8,240,42*,9.23,320,75.00,0,0,6,17,1,AUSTRALIA
1109,CA Lynn ,2017-2018,4,4,0,75,44,18.75,89,84.26,0,0,1,5,3,AUSTRALIA
1110,NM Lyon ,2012-2019,29,14,10,77,30,19.25,83,92.77,0,0,1,7,2,AUSTRALIA
1111,RB McCosker ,1975-1982,14,14,0,320,95,22.85,623,51.36,0,2,2,14,0,AUSTRALIA
1112,RJ McCurdy ,1985-1985,11,6,2,33,13*,8.25,71,46.47,0,0,1,1,0,AUSTRALIA
1113,BR McDermott ,2021-2021,2,2,0,28,28,14.00,50,56.00,0,0,1,2,0,AUSTRALIA
1114,CJ McDermott ,1985-1996,138,78,17,432,37,7.08,492,87.80,0,0,15,36,8,AUSTRALIA
1115,SCG MacGill ,2000-2000,3,2,1,1,1,1.00,3,33.33,0,0,0,0,0,AUSTRALIA
1116,GD McGrath ,1993-2007,249,67,38,115,11,3.96,235,48.93,0,0,13,7,0,AUSTRALIA
1117,CJ McKay ,2009-2014,59,31,10,190,30,9.04,337,56.37,0,0,3,15,2,AUSTRALIA
1118,GD McKenzie ,1971-1971,1,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1119,JA Maclean ,1979-1979,2,1,0,11,11,11.00,33,33.33,0,0,0,2,0,AUSTRALIA
1120,KH MacLeay ,1983-1987,16,13,2,139,41,12.63,170,81.76,0,0,0,7,3,AUSTRALIA
1121,JN Maguire ,1983-1984,23,11,5,42,14*,7.00,71,59.15,0,0,1,1,0,AUSTRALIA
1122,JP Maher ,1998-2003,26,20,3,438,95,25.76,673,65.08,0,1,1,40,7,AUSTRALIA
1123,AA Mallett ,1971-1975,9,3,1,14,8,7.00,36,38.88,0,0,1,1,0,AUSTRALIA
1124,MF Malone ,1977-1982,10,7,3,36,15*,9.00,63,57.14,0,0,0,5,0,AUSTRALIA
1125,GA Manou ,2009-2009,4,1,0,7,7,7.00,6,116.66,0,0,0,0,0,AUSTRALIA
1126,GR Marsh ,1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,302,22,AUSTRALIA
1127,MR Marsh ,2011-2021,63,59,9,1672,102*,33.44,1847,90.52,1,12,4,139,41,AUSTRALIA
1128,RW Marsh ,1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7,86,17,AUSTRALIA
1129,SE Marsh ,2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,247,36,AUSTRALIA
1130,DR Martyn ,1992-2006,208,182,51,5346,144*,40.80,6877,77.73,5,37,10,441,22,AUSTRALIA
1131,RAL Massie ,1972-1972,3,1,1,16,16*,-,24,66.66,0,0,0,2,0,AUSTRALIA
1132,GRJ Matthews ,1984-1993,59,50,13,619,54,16.72,911,67.94,0,1,5,23,3,AUSTRALIA
1133,GJ Maxwell ,2012-2020,116,106,12,3230,108,34.36,2575,125.43,2,22,9,309,116,AUSTRALIA
1134,TBA May ,1987-1995,47,12,8,39,15,9.75,52,75.00,0,0,0,1,0,AUSTRALIA
1135,JM Mennie ,2016-2016,2,2,0,1,1,0.50,4,25.00,0,0,1,0,0,AUSTRALIA
1136,RP Meredith ,2021-2021,1,1,1,0,0*,-,0,-,0,0,0,0,0,AUSTRALIA
1137,TM Moody ,1987-1999,76,64,12,1211,89,23.28,1747,69.31,0,10,6,74,18,AUSTRALIA
1138,JK Moss ,1979-1979,1,1,0,7,7,7.00,16,43.75,0,0,0,0,0,AUSTRALIA
1139,DP Nannes ,2009-2009,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,AUSTRALIA
1140,MG Neser ,2018-2018,2,2,0,8,6,4.00,16,50.00,0,0,0,0,0,AUSTRALIA
1141,AA Noffke ,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1142,MJ North ,2009-2009,2,2,0,6,5,3.00,19,31.57,0,0,0,0,0,AUSTRALIA
1143,SP O'Donnell ,1985-1991,87,64,15,1242,74*,25.34,1534,80.96,0,9,5,72+,28+,AUSTRALIA
1144,KJ O'Keeffe ,1977-1977,2,2,1,16,16*,16.00,38,42.10,0,0,1,1,0,AUSTRALIA
1145,TD Paine ,2009-2018,35,35,3,890,111,27.81,1257,70.80,1,5,1,96,6,AUSTRALIA
1146,JS Paris ,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1147,LS Pascoe ,1977-1982,29,11,7,39,15*,9.75,102,38.23,0,0,2,2,0,AUSTRALIA
1148,JL Pattinson ,2011-2015,15,8,4,42,13,10.50,80,52.50,0,0,0,2,0,AUSTRALIA
1149,JR Philippe ,2021-2021,3,3,0,65,39,21.66,89,73.03,0,0,0,8,2,AUSTRALIA
1150,WB Phillips ,1982-1986,48,41,6,852,75*,24.34,994,85.71,0,6,1,76+,5+,AUSTRALIA
1151,RT Ponting ,1995-2012,374,364,39,13589,164,41.81,16944,80.19,29,82,20,1223,159,AUSTRALIA
1152,GD Porter ,1979-1979,2,1,0,3,3,3.00,9,33.33,0,0,0,0,0,AUSTRALIA
1153,CG Rackemann ,1983-1991,52,18,6,34,9*,2.83,77,44.15,0,0,6,0,0,AUSTRALIA
1154,IR Redpath ,1971-1975,5,5,0,46,24,9.20,67,68.65,0,0,1,1,0,AUSTRALIA
1155,BA Reid ,1986-1992,61,21,8,49,10,3.76,117,41.88,0,0,1,2,0,AUSTRALIA
1156,PR Reiffel ,1992-1999,92,57,21,503,58,13.97,709,70.94,0,1,5,26,1,AUSTRALIA
1157,JA Richardson ,2018-2020,13,8,3,92,29,18.40,104,88.46,0,0,0,7,0,AUSTRALIA
1158,KW Richardson ,2013-2020,25,12,7,75,24*,15.00,68,110.29,0,0,2,7,4,AUSTRALIA
1159,GM Ritchie ,1982-1987,44,42,7,959,84,27.40,1479,64.84,0,6,2,55,6,AUSTRALIA
1160,SJ Rixon ,1978-1985,6,6,3,40,20*,13.33,98,40.81,0,0,1,1,0,AUSTRALIA
1161,GR Robertson ,1994-1998,13,7,4,45,15,15.00,55,81.81,0,0,0,2,0,AUSTRALIA
1162,RD Robinson ,1977-1977,2,2,0,82,70,41.00,143,57.34,0,1,0,7,1,AUSTRALIA
1163,L Ronchi ,2008-2008,4,2,0,76,64,38.00,37,205.40,0,1,0,6,6,AUSTRALIA
1164,GS Sandhu ,2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1165,CS Serjeant ,1977-1978,3,3,0,73,46,24.33,158,46.20,0,0,0,7,1,AUSTRALIA
1166,AP Sheahan ,1972-1972,3,3,0,75,50,25.00,124,60.48,0,1,0,6,1,AUSTRALIA
1167,DJM Short ,2018-2020,8,8,1,211,69,30.14,269,78.43,0,1,1,16,1,AUSTRALIA
1168,PM Siddle ,2009-2019,20,6,3,31,10*,10.33,30,103.33,0,0,1,2,0,AUSTRALIA
1169,JD Siddons ,1988-1988,1,1,0,32,32,32.00,37,86.48,0,0,0,3,0,AUSTRALIA
1170,RB Simpson ,1978-1978,2,2,0,36,23,18.00,53,67.92,0,0,0,3,1,AUSTRALIA
1171,MJ Slater ,1993-1997,42,42,1,987,73,24.07,1634,60.40,0,9,3,95,2,AUSTRALIA
1172,SB Smith ,1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1,67+,0+,AUSTRALIA
1173,SPD Smith ,2010-2020,128,113,12,4378,164,43.34,4947,88.49,11,25,5,377,42,AUSTRALIA
1174,KR Stackpole ,1971-1974,6,6,0,224,61,37.33,387,57.88,0,3,0,28,0,AUSTRALIA
1175,B Stanlake ,2017-2019,7,5,2,4,2,1.33,28,14.28,0,0,1,0,0,AUSTRALIA
1176,MA Starc ,2010-2021,99,56,21,428,52*,12.22,490,87.34,0,1,9,32,11,AUSTRALIA
1177,MP Stoinis ,2015-2020,45,42,7,1106,146*,31.60,1199,92.24,1,6,4,96,37,AUSTRALIA
1178,AM Stuart ,1997-1997,3,1,0,1,1,1.00,7,14.28,0,0,0,0,0,AUSTRALIA
1179,A Symonds ,1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103,AUSTRALIA
1180,SW Tait ,2007-2011,35,7,5,25,11,12.50,29,86.20,0,0,1,3,1,AUSTRALIA
1181,MA Taylor ,1989-1997,113,110,1,3514,105,32.23,5908,59.47,1,28,4,273,7,AUSTRALIA
1182,PL Taylor ,1987-1992,83,47,25,437,54*,19.86,583,74.95,0,1,4,23,0,AUSTRALIA
1183,AL Thomson ,1971-1971,1,-,-,-,-,-,-,-,-,-,-,-,-,AUSTRALIA
1184,JR Thomson ,1975-1985,50,30,6,181,21,7.54,280,64.64,0,0,5,9,2,AUSTRALIA
1185,PM Toohey ,1978-1979,5,4,2,105,54*,52.50,133,78.94,0,1,0,5,0,AUSTRALIA
1186,CP Tremain ,2016-2016,4,3,2,23,23*,23.00,37,62.16,0,0,1,2,1,AUSTRALIA
1187,GS Trimble ,1986-1986,2,2,1,4,4,4.00,5,80.00,0,0,0,1,0,AUSTRALIA
1188,A Turner ,1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0,25,1,AUSTRALIA
1189,AJ Turner ,2019-2021,9,7,1,192,84*,32.00,160,120.00,0,1,0,10,10,AUSTRALIA
1190,AJ Tye ,2018-2018,7,7,3,57,19,14.25,48,118.75,0,0,0,5,2,AUSTRALIA
1191,MRJ Veletta ,1987-1989,20,19,4,484,68*,32.26,642,75.38,0,2,2,29,0,AUSTRALIA
1192,AC Voges ,2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,0,61,10,AUSTRALIA
1193,MS Wade ,2012-2021,97,83,12,1867,100*,26.29,2288,81.59,1,11,5,129,34,AUSTRALIA
1194,MHN Walker ,1974-1981,17,11,3,79,20,9.87,170,46.47,0,0,1,6,0,AUSTRALIA
1195,KD Walters ,1971-1981,28,24,6,513,59,28.50,732,70.08,0,2,1,37,0,AUSTRALIA
1196,SK Warne ,1993-2003,193,106,28,1016,55,13.02,1411,72.00,0,1,10,60,13,AUSTRALIA
1197,DA Warner ,2009-2020,128,126,6,5455,179,45.45,5710,95.53,18,23,2,571,85,AUSTRALIA
1198,GD Watson ,1972-1972,2,2,1,11,11*,11.00,16,68.75,0,0,1,2,0,AUSTRALIA
1199,SR Watson ,2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131,AUSTRALIA
1200,ME Waugh ,1988-2002,244,236,20,8500,173,39.35,11053,76.90,18,50,16,651,57,AUSTRALIA
1201,SR Waugh ,1986-2002,325,288,58,7569,120*,32.90,9971,75.91,3,45,15,530,68,AUSTRALIA
1202,DM Wellham ,1981-1987,17,17,2,379,97,25.26,699,54.22,0,1,0,16,0,AUSTRALIA
1203,KC Wessels ,1983-1985,54,51,3,1740,107,36.25,2945,59.08,1,14,0,139,2,AUSTRALIA
1204,DF Whatmore ,1980-1980,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0,AUSTRALIA
1205,CL White ,2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4,145,45,AUSTRALIA
1206,MR Whitney ,1983-1993,38,13,7,40,9*,6.66,90,44.44,0,0,1,2,0,AUSTRALIA
1207,JM Wiener ,1979-1980,7,7,0,140,50,20.00,324,43.20,0,1,0,12,0,AUSTRALIA
1208,BA Williams ,2002-2004,25,6,4,27,13*,13.50,46,58.69,0,0,2,2,0,AUSTRALIA
1209,P Wilson ,1997-1998,11,5,2,4,2,1.33,13,30.76,0,0,2,0,0,AUSTRALIA
1210,GM Wood ,1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4,172+,4+,AUSTRALIA
1211,AJ Woodcock ,1974-1974,1,1,0,53,53,53.00,67,79.10,0,1,0,5,1,AUSTRALIA
1212,RD Woolley ,1983-1983,4,3,2,31,16,31.00,38,81.57,0,0,0,2,0,AUSTRALIA
1213,DJ Worrall ,2016-2016,3,1,1,6,6*,-,4,150.00,0,0,0,1,0,AUSTRALIA
1214,KJ Wright ,1979-1979,5,2,0,29,23,14.50,52,55.76,0,0,0,0,0,AUSTRALIA
1215,GN Yallop ,1978-1984,30,27,6,823,66*,39.19,1288,63.89,0,7,1,64,3,AUSTRALIA
1216,B Yardley ,1978-1983,7,4,0,58,28,14.50,98,59.18,0,0,1,1,0,AUSTRALIA
1217,BE Young ,1998-1999,6,3,1,31,18,15.50,47,65.95,0,0,0,2,0,AUSTRALIA
1218,A Zampa ,2016-2021,64,29,8,176,36,8.38,283,62.19,0,0,3,14,1,AUSTRALIA
1219,AK Zesers ,1987-1987,2,2,2,10,8*,-,14,71.42,0,0,0,1,0,AUSTRALIA
1220,TJ Zoehrer ,1986-1994,22,15,3,130,50,10.83,183,71.03,0,1,2,9,0,AUSTRALIA
1221,CJ Adams ,1998-2000,5,4,0,71,42,17.75,144,49.30,0,0,0,3,0,ENGLAND
1222,JP Agnew ,1985-1985,3,1,1,2,2*,-,3,66.66,0,0,0,0,0,ENGLAND
1223,Kabir Ali ,2003-2006,14,9,3,93,39*,15.50,108,86.11,0,0,2,8,1,ENGLAND
1224,MM Ali ,2014-2021,112,89,14,1877,128,25.02,1853,101.29,3,5,6,162,63,ENGLAND
1225,MW Alleyne ,1999-2000,10,8,1,151,53,21.57,255,59.21,0,1,0,8,1,ENGLAND
1226,PJW Allott ,1982-1985,13,6,1,15,8,3.00,25,60.00,0,0,2,1,0,ENGLAND
1227,TR Ambrose ,2008-2008,5,5,1,10,6,2.50,34,29.41,0,0,1,0,0,ENGLAND
1228,DL Amiss ,1972-1977,18,18,0,859,137,47.72,1185,72.48,4,1,0,94,1,ENGLAND
1229,JM Anderson ,2002-2015,194,79,43,273,28,7.58,561,48.66,0,0,10,23,0,ENGLAND
1230,ZS Ansari ,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,ENGLAND
1231,JC Archer ,2019-2020,17,9,5,27,8*,6.75,34,79.41,0,0,1,2,0,ENGLAND
1232,GG Arnold ,1972-1975,14,6,3,48,18*,16.00,75,64.00,0,0,1,4,0,ENGLAND
1233,MA Atherton ,1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4,155,1,ENGLAND
1234,CWJ Athey ,1980-1988,31,30,3,848,142*,31.40,1495,56.72,2,4,1,54,4,ENGLAND
1235,ID Austin ,1998-1999,9,6,1,34,11*,6.80,49,69.38,0,0,0,2,0,ENGLAND
1236,RJ Bailey ,1985-1990,4,4,2,137,43*,68.50,196,69.89,0,0,0,6,2,ENGLAND
1237,DL Bairstow ,1979-1984,21,20,6,206,23*,14.71,390,52.82,0,0,1,12,1,ENGLAND
1238,JM Bairstow ,2011-2021,89,81,8,3498,141*,47.91,3331,105.01,11,14,6,391,89,ENGLAND
1239,JT Ball ,2016-2018,18,6,2,38,28,9.50,49,77.55,0,0,2,6,0,ENGLAND
1240,GS Ballance ,2013-2015,16,15,1,297,79,21.21,443,67.04,0,2,1,21,1,ENGLAND
1241,T Banton ,2020-2020,6,5,0,134,58,26.80,145,92.41,0,1,0,17,2,ENGLAND
1242,GD Barlow ,1976-1977,6,6,1,149,80*,29.80,255,58.43,0,1,2,18,0,ENGLAND
1243,KJ Barnett ,1988-1988,1,1,0,84,84,84.00,146,57.53,0,1,0,0,0,ENGLAND
1244,GJ Batty ,2002-2009,10,8,2,30,17,5.00,73,41.09,0,0,1,1,0,ENGLAND
1245,IR Bell ,2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6,525,32,ENGLAND
1246,JE Benjamin ,1994-1995,2,1,0,0,0,0.00,6,0.00,0,0,1,0,0,ENGLAND
1247,MR Benson ,1986-1986,1,1,0,24,24,24.00,58,41.37,0,0,0,3,0,ENGLAND
1248,MP Bicknell ,1990-1991,7,6,2,96,31*,24.00,104,92.30,0,0,0,7,1,ENGLAND
1249,SW Billings ,2015-2021,25,20,2,607,118,33.72,657,92.38,1,4,1,68,6,ENGLAND
1250,ID Blackwell ,2002-2006,34,29,2,403,82,14.92,465,86.66,0,1,6,38,9,ENGLAND
