,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
176,JFM Morrison ,1975-1983,18,15,3,252,55,21.00,472,53.38,0,1,0,22+,1+,NEW ZEALAND
177,C Munro ,2013-2019,57,53,2,1271,87,24.92,1214,104.69,0,8,7,138,36,NEW ZEALAND
178,DJ Murray ,1994-1994,1,1,0,3,3,3.00,17,17.64,0,0,0,0,0,NEW ZEALAND
179,DJ Nash ,1992-2002,81,53,13,624,42,15.60,940,66.38,0,0,3,28,5,NEW ZEALAND
180,JDS Neesham ,2013-2021,66,56,10,1320,97*,28.69,1352,97.63,0,6,2,117,30,NEW ZEALAND
181,TS Nethula ,2012-2012,5,3,1,12,9*,6.00,11,109.09,0,0,1,1,0,NEW ZEALAND
182,CJ Nevin ,2000-2003,37,36,0,732,74,20.33,1000,73.20,0,4,4,82,3,NEW ZEALAND
183,HM Nicholls ,2015-2021,52,50,11,1409,124*,36.12,1717,82.06,1,11,5,131,10,NEW ZEALAND
184,RJ Nicol ,2011-2013,22,21,2,586,146,30.84,776,75.51,2,2,2,53,13,NEW ZEALAND
185,IE O'Brien ,2008-2009,10,2,2,3,3*,-,11,27.27,0,0,0,0,0,NEW ZEALAND
186,SB O'Connor ,1997-2000,38,13,6,24,8,3.42,91,26.37,0,0,3,1,1,NEW ZEALAND
187,JDP Oram ,2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8,182,81,NEW ZEALAND
188,DR O'Sullivan ,1974-1976,3,2,1,2,1*,2.00,5,40.00,0,0,0,0,0,NEW ZEALAND
189,MB Owens ,1992-1992,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,NEW ZEALAND
190,MHW Papps ,2004-2005,6,6,2,207,92*,51.75,342,60.52,0,2,0,24,0,NEW ZEALAND
191,JM Parker ,1974-1981,24,20,0,248,66,12.40,403,61.53,0,1,1,17+,0+,NEW ZEALAND
192,NM Parker ,1976-1976,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,NEW ZEALAND
193,AC Parore ,1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19,169,36,NEW ZEALAND
194,DN Patel ,1987-1997,75,63,10,623,71,11.75,868,71.77,0,1,6,37,7,NEW ZEALAND
195,JS Patel ,2005-2017,43,15,8,95,34,13.57,162,58.64,0,0,1,5,2,NEW ZEALAND
196,AJ Penn ,1997-2001,5,3,1,23,15,11.50,33,69.69,0,0,0,0,0,NEW ZEALAND
197,RG Petrie ,1990-1991,12,8,3,65,21,13.00,109,59.63,0,0,1,2,0,NEW ZEALAND
198,V Pollard ,1973-1974,3,2,0,67,55,33.50,145,46.20,0,1,0,9,1,NEW ZEALAND
